nombre_sensor;A;B;C;D;FBG_0;nombre_fibra;x;canal

S1;-0.008460065923248368;11.478103844371779;23890.030310669437;-33121820.46112292;0;FBG1;0;1

S2;-0.006716161751836687;7.845381496490199;22932.141381177997;-29397416.88416587;0;FBG2;0;1

S3;-0.0035687219626288963;-4.747696840080817;39475.421711611685;-36501882.30311605;0;FBG3;0;1

S4;-0.010228026936014675;23.601575229591774;-436.7708457600589;-17948103.606747776;0.025;FBG4;0;1

S5;-0.0047382298128968905;-0.03882121662687423;33447.62794842806;-34113564.14553278;0.014;FBG5;0;1

S6;-0.00509385440991829;0.5927427342047208;34101.74603459038;-35319292.19605611;0.007;FBG6;0;1

S7;-0.006639236419844066;10.889954292631513;13520.30760081357;-22399888.77589282;0.002;FBG7;0;1

S8;-0.009432385095805228;19.0950621708261;8151.924612887195;-23390349.668137893;0;FBG8;0;1

S_int_1;-0.018007640344714478;40.37146391008448;2260.030088477862;-33470224.788501155;0;FBG1;0;2

S_int_2;-0.009659421841996167;11.50132525181692;32281.4534083202;-41719018.83910046;0;FBG2;0;2

S_int_3;-0.004821300064088443;-4.913714434580884;48726.63410564303;-45781536.47782804;0;FBG3;0;2

S_int_4;-0.0029957312663628144;-13.60077643407708;62593.796485131075;-53200943.47890633;0;FBG4;0;2

S_int_5;-0.008215119207811258;11.398106429427491;22862.033880024956;-32237574.66554206;0;FBG5;0;2

S_int_6;-0.010083805298652278;18.972133988119747;12915.872982485558;-28057348.620126124;0;FBG6;0;2

S_int_7;-0.009576634091382428;22.128845455126598;-227.323643423292;-17154649.131260507;0;FBG7;0;2

S_int_8;-0.005592371206808941;2.8566870220375447;30861.247466543166;-33876481.14362089;0;FBG8;0;2

