nombre_sensor;A;B;C;D;FBG_0;nombre_fibra;x;canal
S1;0.02141337043368585;-48.34768031326325;-1429.7774251550857;38676066.61164706;0;FBG1;0.027;1
S2;0.038747931194649414;-129.44688897277632;124771.94278876322;-26654421.132601496;0;FBG2;0.027;1
S3;0.03632006347588923;-119.11653767592347;110011.30435176824;-19558754.796184093;0;FBG3;.0.27;1
S4;0.004416001873038154;25.782362662848335;-109522.67966850923;91400284.19099763;0;FBG4;0.027;1
S5;0.023220219101289973;-60.44396368660072;22090.150636052847;24530527.297376234;0;FBG5;0.02;1
S6;0.009997664403968702;0.5814119865968057;-71974.28922495055;72952199.27914543;0;FBG6;.01;1
S7;-0.0017472945064013821;57.93034506618889;-165182.95593368696;123378990.63947795;0;FBG7;0.003;1
S8;0.010971854549167466;0.11508427896539686;-77795.81883156051;79462387.87023695;0;FBG8;0.001;1
s1;-0.01442925606083238;43.96261694114377;-33487.86414733384;2979.5733345668013;0;FBG1;0;2
s2;-0.006236395929281393;11.315693421055776;9034.630388269405;-17975865.00447634;0;FBG2;0;2
s3;-0.0030099404931560663;-2.997420007969484;30249.264899455018;-28484272.320427842;0;FBG3;0;2
s4;-0.003820551694889397;1.0815527883399456;23529.55958153528;-24848268.263837088;0;FBG4;0;2
s5;-0.0058179427189070446;8.774148650252899;14080.536432920859;-21245135.96006181;0;FBG5;0;2
s6;-0.00417078379200318;2.407160607250259;22065.52988255552;-24457334.742118094;0;FBG6;0;2
s7;-0.004098027601416444;3.510366357373751;18237.456403822373;-21443796.035124015;0;FBG7;0;2
s8;-0.005255535440953283;4.1106819063062865;24639.173589714122;-28498584.190936405;0;FBG8;0;2
